weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.0
1,1,1,2,0.0
1,1,1,3,0.0
1,1,1,4,0.0
1,1,1,5,0.0
1,1,1,6,0.0
1,1,1,7,0.0
1,1,1,8,0.0
1,1,1,9,0.044845
1,1,1,10,0.15695
1,1,1,11,0.246635
1,1,1,12,0.403585
1,1,1,13,0.53812
1,1,1,14,0.44843
1,1,1,15,0.33632
1,1,1,16,0.26906
1,1,1,17,0.08969
1,1,1,18,0.0
1,1,1,19,0.0
1,1,1,20,0.0
1,1,1,21,0.0
1,1,1,22,0.0
1,1,1,23,0.0
1,1,1,24,0.0
1,1,1,25,0.0
1,1,1,26,0.0
1,1,1,27,0.0
1,1,1,28,0.0
1,1,1,29,0.0
1,1,1,30,0.0
1,1,1,31,0.0
1,1,1,32,0.0
1,1,1,33,0.0
1,1,1,34,0.269055
1,1,1,35,0.470855
1,1,1,36,0.538115
1,1,1,37,0.650225
1,1,1,38,0.6278
1,1,1,39,0.58296
1,1,1,40,0.44843
1,1,1,41,0.179375
1,1,1,42,0.0
1,1,1,43,0.0
1,1,1,44,0.0
1,1,1,45,0.0
1,1,1,46,0.0
1,1,1,47,0.0
1,1,1,48,0.0
1,1,1,49,0.0
1,1,1,50,0.0
1,1,1,51,0.0
1,1,1,52,0.0
1,1,1,53,0.0
1,1,1,54,0.0
1,1,1,55,0.0
1,1,1,56,0.0
1,1,1,57,0.089685
1,1,1,58,0.3139
1,1,1,59,0.515695
1,1,1,60,0.58296
1,1,1,61,0.650225
1,1,1,62,0.6278
1,1,1,63,0.56054
1,1,1,64,0.426005
1,1,1,65,0.15695
1,1,1,66,0.0
1,1,1,67,0.0
1,1,1,68,0.0
1,1,1,69,0.0
1,1,1,70,0.0
1,1,1,71,0.0
1,1,1,72,0.0
1,1,1,73,0.0
1,1,1,74,0.0
1,1,1,75,0.0
1,1,1,76,0.0
1,1,1,77,0.0
1,1,1,78,0.0
1,1,1,79,0.0
1,1,1,80,0.0
1,1,1,81,0.0
1,1,1,82,0.02242
1,1,1,83,0.15695
1,1,1,84,0.26906
1,1,1,85,0.538115
1,1,1,86,0.56054
1,1,1,87,0.42601
1,1,1,88,0.24664
1,1,1,89,0.179375
1,1,1,90,0.0
1,1,1,91,0.0
1,1,1,92,0.0
1,1,1,93,0.0
1,1,1,94,0.0
1,1,1,95,0.0
1,1,1,96,0.0
1,1,1,97,0.0
1,1,1,98,0.0
1,1,1,99,0.0
1,1,1,100,0.0
1,1,1,101,0.0
1,1,1,102,0.0
1,1,1,103,0.0
1,1,1,104,0.0
1,1,1,105,0.0
1,1,1,106,0.089685
1,1,1,107,0.112105
1,1,1,108,0.24664
1,1,1,109,0.381165
1,1,1,110,0.26906
1,1,1,111,0.08969
1,1,1,112,0.04484
1,1,1,113,0.0
1,1,1,114,0.0
1,1,1,115,0.0
1,1,1,116,0.0
1,1,1,117,0.0
1,1,1,118,0.0
1,1,1,119,0.0
1,1,1,120,0.0
1,1,1,121,0.0
1,1,1,122,0.0
1,1,1,123,0.0
1,1,1,124,0.0
1,1,1,125,0.0
1,1,1,126,0.0
1,1,1,127,0.0
1,1,1,128,0.0
1,1,1,129,0.089685
1,1,1,130,0.313905
1,1,1,131,0.58296
1,1,1,132,0.650225
1,1,1,133,0.69507
1,1,1,134,0.67265
1,1,1,135,0.58296
1,1,1,136,0.44843
1,1,1,137,0.224215
1,1,1,138,0.0
1,1,1,139,0.0
1,1,1,140,0.0
1,1,1,141,0.0
1,1,1,142,0.0
1,1,1,143,0.0
1,1,1,144,0.0
1,1,1,145,0.0
1,1,1,146,0.0
1,1,1,147,0.0
1,1,1,148,0.0
1,1,1,149,0.0
1,1,1,150,0.0
1,1,1,151,0.0
1,1,1,152,0.0
1,1,1,153,0.02242
1,1,1,154,0.201795
1,1,1,155,0.11211
1,1,1,156,0.201795
1,1,1,157,0.42601
1,1,1,158,0.69507
1,1,1,159,0.6278
1,1,1,160,0.515695
1,1,1,161,0.224215
1,1,1,162,0.0
1,1,1,163,0.0
1,1,1,164,0.0
1,1,1,165,0.0
1,1,1,166,0.0
1,1,1,167,0.0
1,1,1,168,0.0
1,1,1,169,0.0
1,1,1,170,0.0
1,1,1,171,0.0
1,1,1,172,0.0
1,1,1,173,0.0
1,1,1,174,0.0
1,1,1,175,0.0
1,1,1,176,0.0
1,1,1,177,0.089685
1,1,1,178,0.246635
1,1,1,179,0.538115
1,1,1,180,0.58296
1,1,1,181,0.6278
1,1,1,182,0.6278
1,1,1,183,0.58296
1,1,1,184,0.426005
1,1,1,185,0.224215
1,1,1,186,0.0
1,1,1,187,0.0
1,1,1,188,0.0
1,1,1,189,0.0
1,1,1,190,0.0
1,1,1,191,0.0
1,1,1,192,0.0
1,1,1,193,0.0
1,1,1,194,0.0
1,1,1,195,0.0
1,1,1,196,0.0
1,1,1,197,0.0
1,1,1,198,0.0
1,1,1,199,0.0
1,1,1,200,0.0
1,1,1,201,0.02242
1,1,1,202,0.269055
1,1,1,203,0.538115
1,1,1,204,0.650225
1,1,1,205,0.71749
1,1,1,206,0.60538
1,1,1,207,0.49327
1,1,1,208,0.33632
1,1,1,209,0.201795
1,1,1,210,0.0
1,1,1,211,0.0
1,1,1,212,0.0
1,1,1,213,0.0
1,1,1,214,0.0
1,1,1,215,0.0
1,1,1,216,0.0
1,1,1,217,0.0
1,1,1,218,0.0
1,1,1,219,0.0
1,1,1,220,0.0
1,1,1,221,0.0
1,1,1,222,0.0
1,1,1,223,0.0
1,1,1,224,0.0
1,1,1,225,0.089685
1,1,1,226,0.224215
1,1,1,227,0.493275
1,1,1,228,0.58296
1,1,1,229,0.6278
1,1,1,230,0.6278
1,1,1,231,0.58296
1,1,1,232,0.403585
1,1,1,233,0.224215
1,1,1,234,0.0
1,1,1,235,0.0
1,1,1,236,0.0
1,1,1,237,0.0
1,1,1,238,0.0
1,1,1,239,0.0
1,1,1,240,0.0
1,1,1,241,0.0
1,1,1,242,0.0
1,1,1,243,0.0
1,1,1,244,0.0
1,1,1,245,0.0
1,1,1,246,0.0
1,1,1,247,0.0
1,1,1,248,0.0
1,1,1,249,0.0
1,1,1,250,0.112105
1,1,1,251,0.26906
1,1,1,252,0.336325
1,1,1,253,0.336325
1,1,1,254,0.11211
1,1,1,255,0.044845
1,1,1,256,0.112105
1,1,1,257,0.11211
1,1,1,258,0.0
1,1,1,259,0.0
1,1,1,260,0.0
1,1,1,261,0.0
1,1,1,262,0.0
1,1,1,263,0.0
1,1,1,264,0.0
1,1,1,265,0.0
1,1,1,266,0.0
1,1,1,267,0.0
1,1,1,268,0.0
1,1,1,269,0.0
1,1,1,270,0.0
1,1,1,271,0.0
1,1,1,272,0.0
1,1,1,273,0.067265
1,1,1,274,0.156955
1,1,1,275,0.26906
1,1,1,276,0.47085
1,1,1,277,0.49327
1,1,1,278,0.403585
1,1,1,279,0.201795
1,1,1,280,0.224215
1,1,1,281,0.0
1,1,1,282,0.0
1,1,1,283,0.0
1,1,1,284,0.0
1,1,1,285,0.0
1,1,1,286,0.0
1,1,1,287,0.0
1,1,1,288,0.0
1,1,1,289,0.0
1,1,1,290,0.0
1,1,1,291,0.0
1,1,1,292,0.0
1,1,1,293,0.0
1,1,1,294,0.0
1,1,1,295,0.0
1,1,1,296,0.0
1,1,1,297,0.0
1,1,1,298,0.067265
1,1,1,299,0.11211
1,1,1,300,0.201795
1,1,1,301,0.156955
1,1,1,302,0.08969
1,1,1,303,0.13453
1,1,1,304,0.11211
1,1,1,305,0.15695
1,1,1,306,0.0
1,1,1,307,0.0
1,1,1,308,0.0
1,1,1,309,0.0
1,1,1,310,0.0
1,1,1,311,0.0
1,1,1,312,0.0
1,1,1,313,0.0
1,1,1,314,0.0
1,1,1,315,0.0
1,1,1,316,0.0
1,1,1,317,0.0
1,1,1,318,0.0
1,1,1,319,0.0
1,1,1,320,0.0
1,1,1,321,0.0
1,1,1,322,0.044845
1,1,1,323,0.089685
1,1,1,324,0.11211
1,1,1,325,0.112105
1,1,1,326,0.08969
1,1,1,327,0.04484
1,1,1,328,0.02242
1,1,1,329,0.0
1,1,1,330,0.0
1,1,1,331,0.0
1,1,1,332,0.0
1,1,1,333,0.0
1,1,1,334,0.0
1,1,1,335,0.0
1,1,1,336,0.0
1,1,1,337,0.0
1,1,1,338,0.0
1,1,1,339,0.0
1,1,1,340,0.0
1,1,1,341,0.0
1,1,1,342,0.0
1,1,1,343,0.0
1,1,1,344,0.0
1,1,1,345,0.02242
1,1,1,346,0.3139
1,1,1,347,0.6278
1,1,1,348,0.78475
1,1,1,349,0.80717
1,1,1,350,0.80717
1,1,1,351,0.71749
1,1,1,352,0.58296
1,1,1,353,0.26906
1,1,1,354,0.02242
1,1,1,355,0.0
1,1,1,356,0.0
1,1,1,357,0.0
1,1,1,358,0.0
1,1,1,359,0.0
1,1,1,360,0.0
1,1,1,361,0.0
1,1,1,362,0.0
1,1,1,363,0.0
1,1,1,364,0.0
1,1,1,365,0.0
1,1,1,366,0.0
1,1,1,367,0.0
1,1,1,368,0.0
1,1,1,369,0.02242
1,1,1,370,0.246635
1,1,1,371,0.6278
1,1,1,372,0.71749
1,1,1,373,0.80717
1,1,1,374,0.78475
1,1,1,375,0.672645
1,1,1,376,0.58296
1,1,1,377,0.26906
1,1,1,378,0.02242
1,1,1,379,0.0
1,1,1,380,0.0
1,1,1,381,0.0
1,1,1,382,0.0
1,1,1,383,0.0
1,1,1,384,0.0
1,1,1,385,0.0
1,1,1,386,0.0
1,1,1,387,0.0
1,1,1,388,0.0
1,1,1,389,0.0
1,1,1,390,0.0
1,1,1,391,0.0
1,1,1,392,0.0
1,1,1,393,0.044845
1,1,1,394,0.381165
1,1,1,395,0.58296
1,1,1,396,0.69507
1,1,1,397,0.71749
1,1,1,398,0.44843
1,1,1,399,0.358745
1,1,1,400,0.179375
1,1,1,401,0.02242
1,1,1,402,0.0
1,1,1,403,0.0
1,1,1,404,0.0
1,1,1,405,0.0
1,1,1,406,0.0
1,1,1,407,0.0
1,1,1,408,0.0
1,1,1,409,0.0
1,1,1,410,0.0
1,1,1,411,0.0
1,1,1,412,0.0
1,1,1,413,0.0
1,1,1,414,0.0
1,1,1,415,0.0
1,1,1,416,0.0
1,1,1,417,0.089685
1,1,1,418,0.336325
1,1,1,419,0.336325
1,1,1,420,0.15695
1,1,1,421,0.358745
1,1,1,422,0.515695
1,1,1,423,0.627805
1,1,1,424,0.538115
1,1,1,425,0.26906
1,1,1,426,0.044845
1,1,1,427,0.0
1,1,1,428,0.0
1,1,1,429,0.0
1,1,1,430,0.0
1,1,1,431,0.0
1,1,1,432,0.0
1,1,1,433,0.0
1,1,1,434,0.0
1,1,1,435,0.0
1,1,1,436,0.0
1,1,1,437,0.0
1,1,1,438,0.0
1,1,1,439,0.0
1,1,1,440,0.0
1,1,1,441,0.067265
1,1,1,442,0.358745
1,1,1,443,0.58296
1,1,1,444,0.69507
1,1,1,445,0.76233
1,1,1,446,0.76233
1,1,1,447,0.650225
1,1,1,448,0.56054
1,1,1,449,0.24664
1,1,1,450,0.044845
1,1,1,451,0.0
1,1,1,452,0.0
1,1,1,453,0.0
1,1,1,454,0.0
1,1,1,455,0.0
1,1,1,456,0.0
1,1,1,457,0.0
1,1,1,458,0.0
1,1,1,459,0.0
1,1,1,460,0.0
1,1,1,461,0.0
1,1,1,462,0.0
1,1,1,463,0.0
1,1,1,464,0.0
1,1,1,465,0.02242
1,1,1,466,0.201795
1,1,1,467,0.35874
1,1,1,468,0.42601
1,1,1,469,0.493275
1,1,1,470,0.40359
1,1,1,471,0.313905
1,1,1,472,0.11211
1,1,1,473,0.04484
1,1,1,474,0.0
1,1,1,475,0.0
1,1,1,476,0.0
1,1,1,477,0.0
1,1,1,478,0.0
1,1,1,479,0.0
1,1,1,480,0.0
1,1,1,481,0.0
1,1,1,482,0.0
1,1,1,483,0.0
1,1,1,484,0.0
1,1,1,485,0.0
1,1,1,486,0.0
1,1,1,487,0.0
1,1,1,488,0.0
1,1,1,489,0.0
1,1,1,490,0.04484
1,1,1,491,0.02242
1,1,1,492,0.08969
1,1,1,493,0.15695
1,1,1,494,0.11211
1,1,1,495,0.17937
1,1,1,496,0.08969
1,1,1,497,0.0
1,1,1,498,0.02242
1,1,1,499,0.0
1,1,1,500,0.0
1,1,1,501,0.0
1,1,1,502,0.0
1,1,1,503,0.0
1,1,1,504,0.0
