transmission_simultaneous_flow_limit,period,max_flow_mw
HQ_Import,2035,5217
IESO_Import,2035,2206
ISONE_Import,2035,2310
MARITIMES_Import,2035,900
MB_HYDRO_Import,2035,2483
MISO_C_Import,2035,12710
MISO_E_Import,2035,5140
MISO_S_Import,2035,4300
MISO_W_Import,2035,7790
NYISO_Import,2035,2800
PJM_E_Import,2035,4760
PJM_S_Import,2035,13580
PJM_W_Import,2035,10940
SASK_POWER_Import,2035,743
SERC_C_Import,2035,8440
SERC_E_Import,2035,5460
SERC_FL_Import,2035,2960
SERC_SE_Import,2035,6530
SPP_N_Import,2035,2210
SPP_S_Import,2035,6450
